PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   6   2  -2   4   0.82388  18601.01  40.14232     0.007     0.008   293.971     0.162     0.090     1.165     0.060
   4   2   2   4   0.82382  18599.61  48.36416     0.033     0.034   293.883     0.162     0.090     1.165     0.268
   6   1  -5   4   0.82246  18569.06  41.41537     3.566     3.498   291.957     0.162     0.090     1.163    28.372
   1   1   5   4   0.82236  18566.64  80.84602     3.148     3.162   291.804     0.162     0.090     1.163    25.038
   6   2  -4   4   0.81924  18496.21  39.84847     0.111     0.118   287.402     0.163     0.090     1.158     0.869
   2   2   4   4   0.81914  18494.02  60.04749     0.583     0.615   287.265     0.163     0.090     1.158     4.567
   5   1  -6   4   0.81819  18472.68  45.55424     2.978     3.169   285.942     0.163     0.090     1.157    23.205
   1   1  -6   4   0.81812  18471.04  80.44588     2.820     2.987   285.840     0.163     0.090     1.157    21.967
   2   5   0   4   0.81568  18416.00  39.43408     0.329     0.385   282.448     0.163     0.091     1.153     2.534
   2   5  -2   4   0.81417  18381.90  39.34009     0.297     0.344   280.362     0.164     0.091     1.151     2.268
   0   5   2   4   0.81416  18381.64  40.46682     0.162     0.187   280.346     0.164     0.091     1.151     1.238
   4   2  -6   4   0.81161  18324.09  47.62270     0.000     0.000   276.851     0.164     0.091     1.147     0.003
   2   2  -6   4   0.81158  18323.29  59.55751     0.494     0.553   276.803     0.164     0.091     1.147     3.724
   4   4   0   4   0.79942  18048.74  38.99730     0.341     0.316   260.581     0.167     0.093     1.130     2.424
   4   4  -4   4   0.79377  17921.37  38.66585     0.193     0.188   253.302     0.168     0.094     1.122     1.329
   0   4   4   4   0.79373  17920.37  44.97493     0.007     0.007   253.246     0.168     0.094     1.122     0.048
   5   3   0   4   0.79109  17860.78  39.07077     3.226     3.374   249.894     0.168     0.095     1.118    21.972
   6   2  -1   4   0.78967  17828.65  38.06568     1.564     1.656   248.101     0.169     0.095     1.116    10.575
   5   2   1   4   0.78964  17827.98  41.74017     1.634     1.722   248.063     0.169     0.095     1.116    11.050
   6   0   0   2   0.78693  17766.88  39.80513     0.302     0.284   122.340     0.169     0.095     1.112     1.007
   5   3  -5   4   0.78260  17668.99  38.58837     2.417     2.368   239.332     0.170     0.096     1.106    15.769
   0   3   5   4   0.78253  17667.50  52.81227     2.919     2.843   239.251     0.170     0.096     1.106    19.036
   6   2  -5   4   0.78155  17645.40  37.60377     0.457     0.439   238.056     0.170     0.096     1.105     2.962
   1   2   5   4   0.78146  17643.32  63.06894     0.673     0.648   237.944     0.171     0.096     1.105     4.362
   3   5  -1   4   0.78112  17635.75  36.14975     2.631     2.508   237.536     0.171     0.096     1.104    17.033
   2   5   1   4   0.78111  17635.45  37.38423     2.798     2.667   237.520     0.171     0.096     1.104    18.111
   3   5  -2   4   0.78013  17613.27  36.09339     3.320     3.117   236.327     0.171     0.097     1.103    21.384
   1   5   2   4   0.78011  17612.80  38.17028     3.249     3.057   236.302     0.171     0.097     1.103    20.924
   2   5  -3   4   0.77846  17575.71  37.23626     3.110     3.077   234.317     0.171     0.097     1.100    19.859
   1   5  -3   4   0.77846  17575.53  38.07866     2.884     2.854   234.308     0.171     0.097     1.100    18.414
   5   2  -6   4   0.77788  17562.63  41.08759     0.683     0.693   233.620     0.171     0.097     1.100     4.347
   1   2  -6   4   0.77782  17561.22  62.82499     0.789     0.805   233.546     0.171     0.097     1.100     5.024
   6   0  -6   2   0.77497  17496.87  39.14227     0.367     0.426   115.071     0.172     0.097     1.095     1.152
   0   0   6   2   0.77488  17494.79  90.53835     0.276     0.299   115.016     0.172     0.098     1.095     0.865
   6   1   0   4   0.77434  17482.62  38.59168     0.181     0.204   229.392     0.172     0.098     1.095     1.131
   7   0  -3   2   0.77334  17459.93  35.47731     1.700     1.881   114.102     0.172     0.098     1.093     5.287
   4   0   3   2   0.77325  17458.03  50.27420     1.321     1.430   114.052     0.172     0.098     1.093     4.105
   7   0  -4   2   0.77109  17409.16  35.35332     0.501     0.468   112.781     0.173     0.098     1.090     1.539
